49
0	6	9	4	5	2	2	7	0	0	0	0	0	0	3	0	12	0	0	0	0	10	0	0	10	0	0	0	7	0	0	0	1	0	0	5	0	0	0	0	8	0	13	0	0	0	0	0	4	
6	0	1	6	2	10	12	5	8	7	0	0	0	0	0	12	0	13	0	0	0	0	8	0	0	3	0	0	0	13	0	0	0	13	0	0	6	0	0	0	0	10	0	6	0	0	0	0	0	
9	1	0	5	9	12	1	0	4	3	2	0	0	0	3	0	9	0	1	0	0	0	0	11	0	0	8	0	0	0	1	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
4	6	5	0	9	13	7	0	0	3	13	1	0	0	0	11	0	12	0	5	0	8	0	0	12	0	0	10	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	
5	2	9	9	0	2	8	0	0	0	2	10	10	0	0	0	3	0	2	0	2	0	12	0	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	
2	10	12	13	2	0	7	0	0	0	0	10	12	7	0	0	0	13	0	8	0	0	0	5	0	0	3	0	0	0	0	0	0	8	0	8	0	0	0	0	13	0	0	0	0	0	0	3	0	
2	12	1	7	8	7	0	0	0	0	0	0	9	9	0	0	0	0	2	0	10	0	0	0	10	0	0	7	0	0	5	0	0	0	8	0	12	0	0	0	0	11	0	0	0	0	0	0	7	
7	5	0	0	0	0	0	0	0	1	4	14	4	0	14	13	0	0	0	0	0	3	0	9	0	0	0	0	12	0	0	10	0	0	0	1	0	0	0	7	0	0	1	0	0	0	0	4	0	
0	8	4	0	0	0	0	0	0	9	6	9	10	0	4	2	4	0	0	0	0	0	7	0	4	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	5	0	0	13	0	0	0	0	11	
0	7	3	3	0	0	0	1	9	0	6	1	2	9	0	6	2	13	0	0	0	2	0	0	0	9	0	0	0	0	9	0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	
0	0	2	13	2	0	0	4	6	6	0	3	12	0	0	0	3	1	2	0	0	0	2	0	10	0	6	0	14	0	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	8	0	0	0	
0	0	0	1	10	10	0	14	9	1	3	0	11	8	0	0	0	0	0	11	0	0	0	2	0	14	0	11	0	3	0	0	14	0	0	13	0	0	0	9	0	0	0	0	0	0	9	0	0	
0	0	0	0	10	12	9	4	10	2	12	11	0	4	0	0	0	0	12	8	9	0	0	0	10	0	12	0	0	0	7	0	0	6	0	0	1	0	0	0	14	0	3	0	0	0	0	12	0	
0	0	0	0	0	7	9	0	0	9	0	8	4	0	0	0	0	0	0	13	13	0	0	0	0	9	0	0	0	0	0	12	0	0	13	0	0	6	0	0	0	1	0	14	0	0	0	0	6	
