36
0	8	10	4	10	7	10	14	0	0	0	0	10	0	13	0	0	0	7	0	0	5	0	0	6	0	0	0	7	0	7	0	0	0	0	10	
8	0	8	8	6	12	5	8	8	0	0	0	0	13	0	10	0	0	0	13	0	0	8	0	0	0	0	0	0	13	0	14	0	0	0	0	
10	8	0	7	10	14	0	13	10	9	0	0	8	0	6	0	9	0	0	0	10	0	0	2	0	0	3	0	0	0	0	0	6	0	0	0	
4	8	7	0	2	0	0	0	7	10	11	0	0	0	0	12	0	7	9	0	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	
10	6	10	2	0	7	0	0	0	1	2	12	0	0	10	0	8	0	0	6	0	0	2	0	8	0	0	0	4	0	0	0	0	0	1	0	
7	12	14	0	7	0	0	0	0	0	7	14	0	0	0	7	0	2	0	0	9	0	0	8	0	8	0	0	0	4	6	0	0	0	0	13	
10	5	0	0	0	0	0	5	14	12	2	4	3	13	0	0	0	0	0	0	3	0	0	0	5	0	0	6	0	0	4	0	0	0	1	0	
14	8	13	0	0	0	5	0	12	10	12	9	2	4	0	0	0	0	0	8	0	14	0	0	0	11	0	0	3	0	0	1	0	0	0	3	
0	8	10	7	0	0	14	12	0	13	6	7	0	6	2	2	0	0	13	0	7	0	5	0	0	0	7	0	0	13	0	0	9	0	0	0	
0	0	9	10	1	0	12	10	13	0	5	7	0	0	2	5	5	0	0	10	0	0	0	5	6	0	0	7	0	0	0	0	0	0	0	0	
0	0	0	11	2	7	2	12	6	5	0	14	0	0	0	14	14	6	0	0	8	0	14	0	0	1	0	0	3	0	3	0	0	0	10	0	
0	0	0	0	12	14	4	9	7	7	14	0	0	0	0	0	2	14	0	0	0	0	0	11	0	0	11	0	0	10	0	3	0	0	0	13	
10	0	8	0	0	0	3	2	0	0	0	0	0	13	11	11	0	10	7	1	0	0	0	0	5	0	11	0	0	0	7	0	0	0	0	0	
0	13	0	0	0	0	13	4	6	0	0	0	13	0	7	0	4	3	4	9	12	0	0	0	0	10	0	11	0	0	0	0	0	0	14	0	
13	0	6	0	10	0	0	0	2	2	0	0	11	7	0	13	1	14	0	0	9	10	0	0	3	0	13	0	11	0	0	0	13	0	0	14	
0	10	0	12	0	7	0	0	2	5	14	0	11	0	13	0	3	6	0	0	13	8	5	0	0	0	0	13	0	5	3	0	0	0	0	0	
0	0	9	0	8	0	0	0	0	5	14	2	0	4	1	3	0	2	0	0	0	13	0	3	0	0	9	0	12	0	0	1	0	0	10	0	
0	0	0	7	0	2	0	0	0	0	6	14	10	3	14	6	2	0	0	0	0	0	13	14	0	0	0	7	0	3	0	0	1	0	0	13	
7	0	0	9	0	0	0	0	13	0	0	0	7	4	0	0	0	0	0	14	1	0	3	8	13	11	0	0	0	0	14	0	14	0	0	0	
0	13	0	0	6	0	0	8	0	10	0	0	1	9	0	0	0	0	14	0	14	1	12	1	9	4	4	0	0	0	0	14	0	9	0	0	
0	0	10	0	0	9	3	0	7	0	8	0	0	12	9	13	0	0	1	14	0	3	3	0	0	1	0	5	0	0	0	0	13	0	8	0	
5	0	0	14	0	0	0	14	0	0	0	0	0	0	10	8	13	0	0	1	3	0	3	14	0	0	1	0	13	0	0	2	0	2	0	0	
0	8	0	0	2	0	0	0	5	0	14	0	0	0	0	5	0	13	3	12	3	3	0	3	0	0	0	6	2	13	0	0	0	0	3	0	
0	0	2	0	0	8	0	0	0	5	0	11	0	0	0	0	3	14	8	1	0	14	3	0	0	0	0	0	3	5	0	0	0	8	0	1	
6	0	0	0	8	0	5	0	0	6	0	0	5	0	3	0	0	0	13	9	0	0	0	0	0	14	7	5	9	5	2	0	0	0	0	0	
0	0	0	0	0	8	0	11	0	0	1	0	0	10	0	0	0	0	11	4	1	0	0	0	14	0	10	6	13	11	8	8	9	0	0	0	
0	0	3	0	0	0	0	0	7	0	0	11	11	0	13	0	9	0	0	4	0	1	0	0	7	10	0	0	14	9	0	8	7	2	0	0	
0	0	0	9	0	0	6	0	0	7	0	0	0	11	0	13	0	7	0	0	5	0	6	0	5	6	0	0	8	8	0	0	9	4	8	0	
7	0	0	0	4	0	0	3	0	0	3	0	0	0	11	0	12	0	0	0	0	13	2	3	9	13	14	8	0	1	0	0	0	5	7	10	
0	13	0	0	0	4	0	0	13	0	0	10	0	0	0	5	0	3	0	0	0	0	13	5	5	11	9	8	1	0	0	0	0	0	12	14	
7	0	0	0	0	6	4	0	0	0	3	0	7	0	0	3	0	0	14	0	0	0	0	0	2	8	0	0	0	0	0	9	13	10	1	6	
0	14	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	14	0	2	0	0	0	8	8	0	0	0	9	0	0	4	9	8	
0	0	6	0	0	0	0	0	9	0	0	0	0	0	13	0	0	1	14	0	13	0	0	0	0	9	7	9	0	0	13	0	0	9	13	7	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	8	0	0	2	4	5	0	10	4	9	0	3	8	
0	0	0	0	1	0	1	0	0	0	10	0	0	14	0	0	10	0	0	0	8	0	3	0	0	0	0	8	7	12	1	9	13	3	0	0	
10	0	0	0	0	13	0	3	0	0	0	13	0	0	14	0	0	13	0	0	0	0	0	1	0	0	0	0	10	14	6	8	7	8	0	0	
