15
0	4	0	0	1	0	0	0	5	3	10	0	0	0	13	
4	0	11	8	11	0	8	2	0	14	0	12	3	8	0	
0	11	0	3	0	0	7	0	0	13	0	4	3	0	7	
0	8	3	0	14	4	0	0	0	9	0	0	0	0	0	
1	11	0	14	0	0	2	13	0	0	3	0	11	4	8	
0	0	0	4	0	0	8	4	14	0	0	8	0	7	14	
0	8	7	0	2	8	0	14	4	14	0	0	8	0	10	
0	2	0	0	13	4	14	0	0	0	3	8	0	0	2	
5	0	0	0	0	14	4	0	0	0	0	0	0	12	8	
3	14	13	9	0	0	14	0	0	0	0	0	11	12	11	
10	0	0	0	3	0	0	3	0	0	0	0	14	0	0	
0	12	4	0	0	8	0	8	0	0	0	0	0	0	0	
0	3	3	0	11	0	8	0	0	11	14	0	0	0	0	
0	8	0	0	4	7	0	0	12	12	0	0	0	0	0	
13	0	7	0	8	14	10	2	8	11	0	0	0	0	0	
