Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,92,78,170,15.032,168.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
2,92,78,170,15.589,827.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
3,84,86,170,14.939,28.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 10 11 }	{7 8 }	{9 }	
4,84,86,170,15.324,385.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 10 11 }	{7 8 }	{9 }	
5,92,78,170,16.305,43.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
6,92,78,170,15.594,70.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
7,92,78,170,15.081,83.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
8,92,78,170,15.781,83.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
9,92,78,170,14.826,195.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
10,92,78,170,14.986,575.000,12,23,0,0,0,0,{0 1 4 5 }	{2 }	{3 6 7 8 }	{9 10 11 }	
