Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,71,33,104,15.869,48.000,10,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
2,71,33,104,14.156,512.000,10,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
3,71,33,104,14.793,101.000,10,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
4,69,35,104,15.166,120.000,10,16,0,0,0,0,{0 2 6 9 }	{1 4 5 7 8 }	{3 }	
5,69,35,104,15.237,77.000,10,16,0,0,0,0,{0 2 6 9 }	{1 4 5 7 8 }	{3 }	
6,61,43,104,16.280,723.000,10,16,0,0,0,0,{0 2 5 7 }	{1 4 6 8 9 }	{3 }	
7,75,29,104,14.833,384.000,10,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
8,75,29,104,14.621,58.000,10,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
9,71,33,104,15.264,953.000,10,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
10,75,29,104,14.656,499.000,10,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
