Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,892,1244,2136,16.330,440.000,74,294,0,0,0,0,{0 3 8 17 21 28 39 43 48 54 62 68 }	{1 11 40 42 45 46 50 56 61 66 72 73 }	{2 }	{4 10 12 24 49 }	{5 16 19 20 22 33 38 63 }	{6 }	{7 }	{9 }	{13 }	{14 }	{15 }	{18 }	{23 }	{25 }	{26 }	{27 }	{29 }	{30 }	{31 }	{32 }	{34 }	{35 }	{36 }	{37 }	{41 }	{44 }	{47 }	{51 }	{52 }	{53 }	{55 67 }	{57 }	{58 }	{59 }	{60 }	{64 }	{65 }	{69 }	{70 }	{71 }	
2,875,1261,2136,16.218,280.000,74,294,0,0,0,0,{0 3 11 26 40 42 46 54 56 59 61 67 }	{1 }	{2 }	{4 }	{5 16 19 20 33 38 63 }	{6 }	{7 8 13 17 21 30 37 43 48 51 68 71 }	{9 }	{10 28 39 }	{12 }	{14 }	{15 }	{18 }	{22 29 }	{23 }	{24 }	{25 }	{27 }	{31 }	{32 }	{34 }	{35 }	{36 }	{41 }	{44 }	{45 }	{47 }	{49 }	{50 }	{52 }	{53 }	{55 72 }	{57 }	{58 }	{60 }	{62 }	{64 }	{65 }	{66 }	{69 }	{70 }	{73 }	
3,849,1287,2136,17.647,198.000,74,294,0,0,0,0,{0 3 18 26 40 46 54 55 56 59 67 72 }	{1 45 }	{2 }	{4 10 12 24 39 48 49 58 }	{5 }	{6 69 }	{7 8 13 17 21 37 43 51 65 }	{9 }	{11 }	{14 }	{15 }	{16 20 }	{19 }	{22 }	{23 }	{25 }	{27 }	{28 }	{29 }	{30 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 }	{38 }	{41 }	{42 }	{44 }	{47 57 }	{50 }	{52 }	{53 }	{60 }	{61 }	{62 }	{63 }	{64 }	{66 }	{68 }	{70 }	{71 }	{73 }	
4,836,1300,2136,16.904,81.000,74,294,0,0,0,0,{0 3 4 10 12 21 24 28 39 48 58 68 }	{1 42 }	{2 }	{5 }	{6 }	{7 8 13 17 30 }	{9 }	{11 26 40 46 54 55 56 59 61 66 67 72 }	{14 }	{15 }	{16 27 }	{18 }	{19 20 22 63 }	{23 }	{25 }	{29 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 }	{37 }	{38 }	{41 }	{43 }	{44 70 }	{45 }	{47 }	{49 }	{50 }	{51 }	{52 }	{53 }	{57 }	{60 }	{62 }	{64 }	{65 }	{69 }	{71 }	{73 }	
5,676,1460,2136,16.597,161.000,74,294,0,0,0,0,{0 3 4 8 17 28 39 46 48 54 58 71 }	{1 }	{2 }	{5 }	{6 }	{7 37 51 }	{9 }	{10 12 }	{11 18 26 40 42 55 56 59 61 66 67 72 }	{13 }	{14 21 60 }	{15 }	{16 }	{19 }	{20 38 63 }	{22 }	{23 }	{24 }	{25 }	{27 }	{29 }	{30 }	{31 }	{32 }	{33 }	{34 47 }	{35 }	{36 }	{41 }	{43 }	{44 }	{45 }	{49 }	{50 }	{52 }	{53 }	{57 }	{62 }	{64 }	{65 }	{68 }	{69 }	{70 }	{73 }	
6,909,1227,2136,17.025,219.000,74,294,0,0,0,0,{0 3 11 26 40 46 54 56 59 61 66 72 }	{1 45 50 }	{2 }	{4 }	{5 16 19 20 22 33 38 63 }	{6 }	{7 8 13 17 21 30 37 43 48 51 65 71 }	{9 }	{10 }	{12 }	{14 }	{15 }	{18 }	{23 }	{24 }	{25 }	{27 }	{28 }	{29 }	{31 }	{32 }	{34 }	{35 }	{36 }	{39 }	{41 }	{42 }	{44 }	{47 }	{49 }	{52 }	{53 }	{55 }	{57 }	{58 }	{60 }	{62 }	{64 }	{67 }	{68 }	{69 }	{70 }	{73 }	
7,779,1357,2136,17.209,1347.000,74,294,0,0,0,0,{0 3 10 11 12 24 39 46 48 54 56 61 }	{1 }	{2 }	{4 }	{5 16 }	{6 }	{7 8 13 14 17 21 30 37 43 51 }	{9 }	{15 }	{18 26 40 55 59 66 67 72 73 }	{19 }	{20 }	{22 }	{23 }	{25 }	{27 }	{28 }	{29 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 }	{38 }	{41 }	{42 }	{44 }	{45 }	{47 }	{49 }	{50 }	{52 }	{53 }	{57 }	{58 }	{60 }	{62 }	{63 }	{64 }	{65 }	{68 }	{69 }	{70 }	{71 }	
8,865,1271,2136,17.874,107.000,74,294,0,0,0,0,{0 3 18 26 40 50 54 55 56 59 67 72 }	{1 61 }	{2 }	{4 10 12 24 28 39 48 49 58 }	{5 16 }	{6 }	{7 8 13 17 30 37 43 51 }	{9 }	{11 }	{14 }	{15 }	{19 }	{20 }	{21 }	{22 38 }	{23 }	{25 }	{27 }	{29 }	{31 70 }	{32 }	{33 }	{34 }	{35 }	{36 }	{41 }	{42 }	{44 }	{45 }	{46 }	{47 }	{52 }	{53 }	{57 }	{60 }	{62 }	{63 }	{64 }	{65 }	{66 }	{68 }	{69 }	{71 }	{73 }	
9,851,1285,2136,17.576,839.000,74,294,0,0,0,0,{0 3 10 12 24 46 48 54 56 58 61 68 }	{1 }	{2 }	{4 }	{5 16 19 20 22 33 38 63 }	{6 }	{7 8 13 17 21 30 37 43 51 }	{9 }	{11 }	{14 }	{15 }	{18 26 35 59 }	{23 }	{25 }	{27 }	{28 }	{29 }	{31 }	{32 }	{34 }	{36 }	{39 }	{40 42 50 }	{41 }	{44 70 }	{45 }	{47 }	{49 }	{52 }	{53 }	{55 66 72 }	{57 }	{60 }	{62 }	{64 }	{65 }	{67 }	{69 }	{71 }	{73 }	
10,846,1290,2136,16.300,801.000,74,294,0,0,0,0,{0 3 18 21 26 40 54 56 59 61 62 67 }	{1 42 }	{2 }	{4 10 12 24 28 39 48 49 58 71 }	{5 }	{6 }	{7 8 13 17 37 43 51 }	{9 }	{11 }	{14 }	{15 }	{16 }	{19 22 33 38 }	{20 }	{23 }	{25 }	{27 }	{29 }	{30 }	{31 }	{32 }	{34 }	{35 }	{36 }	{41 }	{44 }	{45 }	{46 }	{47 }	{50 }	{52 }	{53 }	{55 }	{57 }	{60 }	{63 }	{64 }	{65 }	{66 }	{68 }	{69 }	{70 }	{72 }	{73 }	
