Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,211,193,404,17.216,1102.000,15,53,0,0,0,0,{0 5 8 13 14 }	{1 3 4 7 11 }	{2 6 9 10 12 }	
2,189,215,404,16.435,254.000,15,53,0,0,0,0,{0 2 10 11 12 }	{1 3 4 9 13 }	{5 6 7 8 14 }	
3,200,204,404,16.131,58.000,15,53,0,0,0,0,{0 5 8 13 14 }	{1 2 6 9 12 }	{3 4 7 11 }	{10 }	
4,186,218,404,16.669,1050.000,15,53,0,0,0,0,{0 5 6 8 14 }	{1 2 9 12 13 }	{3 4 7 11 }	{10 }	
5,205,199,404,15.511,106.000,15,53,0,0,0,0,{0 3 4 10 12 }	{1 2 9 11 13 }	{5 6 7 8 14 }	
6,182,222,404,16.394,1603.000,15,53,0,0,0,0,{0 5 6 8 14 }	{1 3 4 9 13 }	{2 7 11 }	{10 12 }	
7,200,204,404,15.666,661.000,15,53,0,0,0,0,{0 5 8 13 14 }	{1 2 6 9 12 }	{3 4 7 11 }	{10 }	
8,200,204,404,16.576,1423.000,15,53,0,0,0,0,{0 5 8 13 14 }	{1 2 6 9 12 }	{3 4 7 11 }	{10 }	
9,200,204,404,16.291,523.000,15,53,0,0,0,0,{0 5 8 13 14 }	{1 2 6 9 12 }	{3 4 7 11 }	{10 }	
10,186,218,404,16.348,601.000,15,53,0,0,0,0,{0 5 6 8 14 }	{1 2 9 12 13 }	{3 4 7 11 }	{10 }	
