Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,689,8887,9576,18.713,986.000,96,1285,0,0,0,0,{0 4 82 }	{1 7 11 14 24 27 30 40 62 66 73 75 76 88 91 95 }	{2 }	{3 10 48 87 }	{5 }	{6 18 78 84 90 }	{8 20 }	{9 }	{12 }	{13 }	{15 }	{16 }	{17 }	{19 49 52 }	{21 81 }	{22 46 58 93 94 }	{23 }	{25 }	{26 }	{28 }	{29 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 44 45 47 }	{37 }	{38 50 86 }	{39 }	{41 }	{42 }	{43 }	{51 }	{53 }	{54 }	{55 }	{56 }	{57 69 }	{59 }	{60 64 }	{61 }	{63 }	{65 }	{67 }	{68 }	{70 }	{71 }	{72 }	{74 }	{77 }	{79 }	{80 }	{83 }	{85 }	{89 }	{92 }	
2,779,8797,9576,18.380,1477.000,96,1285,0,0,0,0,{0 3 5 39 60 70 86 87 90 91 92 94 }	{1 }	{2 }	{4 15 67 }	{6 }	{7 43 }	{8 }	{9 }	{10 }	{11 59 71 83 }	{12 }	{13 24 25 31 32 35 42 52 53 63 65 66 76 77 85 }	{14 }	{16 }	{17 19 }	{18 84 }	{20 23 }	{21 }	{22 }	{26 }	{27 }	{28 29 }	{30 }	{33 }	{34 }	{36 }	{37 }	{38 }	{40 }	{41 }	{44 }	{45 }	{46 }	{47 }	{48 54 }	{49 }	{50 }	{51 }	{55 }	{56 }	{57 }	{58 }	{61 }	{62 }	{64 }	{68 }	{69 }	{72 }	{73 }	{74 }	{75 }	{78 }	{79 }	{80 }	{81 }	{82 }	{88 }	{89 }	{93 }	{95 }	
3,797,8779,9576,20.506,1703.000,96,1285,0,0,0,0,{0 2 13 26 28 52 60 61 65 72 84 85 86 87 91 94 }	{1 }	{3 63 }	{4 8 }	{5 }	{6 10 24 25 30 33 38 45 }	{7 }	{9 11 22 }	{12 19 }	{14 }	{15 }	{16 49 }	{17 }	{18 }	{20 31 42 53 75 79 80 }	{21 }	{23 }	{27 }	{29 73 }	{32 }	{34 }	{35 }	{36 }	{37 }	{39 }	{40 }	{41 }	{43 }	{44 92 }	{46 }	{47 }	{48 }	{50 51 56 59 }	{54 }	{55 }	{57 }	{58 }	{62 }	{64 }	{66 }	{67 }	{68 }	{69 }	{70 }	{71 }	{74 }	{76 }	{77 }	{78 }	{81 }	{82 95 }	{83 }	{88 }	{89 }	{90 }	{93 }	
4,676,8900,9576,18.327,1502.000,96,1285,0,0,0,0,{0 1 8 9 }	{2 6 7 19 32 45 }	{3 55 }	{4 69 }	{5 }	{10 58 }	{11 }	{12 84 }	{13 49 60 }	{14 50 89 }	{15 26 37 38 39 40 48 52 54 59 63 74 76 81 83 91 }	{16 }	{17 95 }	{18 }	{20 }	{21 }	{22 88 }	{23 }	{24 72 }	{25 }	{27 }	{28 }	{29 }	{30 41 }	{31 }	{33 }	{34 }	{35 }	{36 }	{42 }	{43 }	{44 }	{46 }	{47 }	{51 }	{53 }	{56 }	{57 }	{61 }	{62 }	{64 }	{65 71 }	{66 70 92 }	{67 }	{68 }	{73 75 }	{77 }	{78 }	{79 }	{80 }	{82 }	{85 }	{86 }	{87 }	{90 }	{93 }	{94 }	
5,1157,8419,9576,19.709,1130.000,96,1285,0,0,0,0,{0 }	{1 }	{2 3 5 7 13 15 27 28 39 40 51 52 54 67 75 93 }	{4 }	{6 }	{8 }	{9 }	{10 }	{11 }	{12 18 19 22 23 30 35 79 90 }	{14 }	{16 }	{17 }	{20 }	{21 }	{24 }	{25 }	{26 }	{29 }	{31 }	{32 }	{33 }	{34 }	{36 38 41 43 44 55 72 74 77 80 81 82 83 91 92 94 }	{37 }	{42 }	{45 }	{46 }	{47 }	{48 61 }	{49 }	{50 }	{53 }	{56 68 }	{57 }	{58 }	{59 }	{60 }	{62 }	{63 }	{64 76 86 }	{65 }	{66 }	{69 }	{70 }	{71 }	{73 }	{78 }	{84 }	{85 }	{87 88 }	{89 }	{95 }	
6,959,8617,9576,19.546,1971.000,96,1285,0,0,0,0,{0 }	{1 }	{2 }	{3 7 16 }	{4 10 }	{5 }	{6 8 13 19 20 28 32 39 41 42 52 59 65 71 78 83 }	{9 }	{11 }	{12 }	{14 }	{15 }	{17 }	{18 }	{21 }	{22 }	{23 34 }	{24 }	{25 }	{26 }	{27 }	{29 }	{30 }	{31 }	{33 44 }	{35 }	{36 43 53 67 72 77 79 84 88 89 90 91 92 93 94 }	{37 }	{38 }	{40 }	{45 }	{46 }	{47 }	{48 }	{49 }	{50 }	{51 56 }	{54 57 }	{55 }	{58 }	{60 }	{61 }	{62 }	{63 }	{64 }	{66 }	{68 }	{69 }	{70 }	{73 }	{74 }	{75 }	{76 }	{80 }	{81 }	{82 }	{85 }	{86 }	{87 }	{95 }	
7,735,8841,9576,19.359,1047.000,96,1285,0,0,0,0,{0 1 11 60 63 64 88 }	{2 }	{3 6 7 13 15 16 19 20 23 32 40 41 45 55 67 77 }	{4 }	{5 }	{8 }	{9 }	{10 }	{12 }	{14 }	{17 }	{18 }	{21 }	{22 }	{24 }	{25 }	{26 48 53 65 66 84 87 89 90 91 93 }	{27 33 92 }	{28 }	{29 }	{30 }	{31 35 79 }	{34 }	{36 }	{37 }	{38 }	{39 }	{42 }	{43 }	{44 }	{46 47 }	{49 }	{50 }	{51 }	{52 }	{54 }	{56 }	{57 }	{58 }	{59 }	{61 }	{62 70 }	{68 }	{69 }	{71 }	{72 }	{73 }	{74 }	{75 }	{76 }	{78 }	{80 }	{81 }	{82 }	{83 }	{85 }	{86 }	{94 }	{95 }	
8,744,8832,9576,19.826,945.000,96,1285,0,0,0,0,{0 5 7 10 29 55 84 }	{1 }	{2 8 }	{3 }	{4 }	{6 19 63 71 }	{9 }	{11 }	{12 }	{13 }	{14 15 30 37 41 50 53 54 56 66 86 89 90 91 92 93 }	{16 }	{17 }	{18 }	{20 }	{21 }	{22 }	{23 }	{24 }	{25 28 64 }	{26 }	{27 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 }	{38 49 }	{39 }	{40 }	{42 }	{43 94 }	{44 47 }	{45 }	{46 }	{48 }	{51 }	{52 }	{57 }	{58 }	{59 95 }	{60 }	{61 }	{62 }	{65 }	{67 }	{68 }	{69 }	{70 }	{72 76 }	{73 }	{74 }	{75 }	{77 }	{78 }	{79 }	{80 }	{81 }	{82 }	{83 }	{85 }	{87 }	{88 }	
9,999,8577,9576,19.708,953.000,96,1285,0,0,0,0,{0 1 2 8 9 40 42 52 53 64 67 70 79 80 82 92 }	{3 }	{4 }	{5 6 12 15 16 17 27 28 29 72 81 }	{7 84 91 94 }	{10 }	{11 }	{13 24 }	{14 }	{18 21 25 30 31 32 43 54 55 56 57 75 76 }	{19 }	{20 }	{22 }	{23 }	{26 48 }	{33 }	{34 }	{35 }	{36 }	{37 }	{38 }	{39 46 61 }	{41 }	{44 }	{45 }	{47 }	{49 }	{50 }	{51 }	{58 }	{59 }	{60 }	{62 }	{63 }	{65 }	{66 }	{68 }	{69 }	{71 }	{73 }	{74 }	{77 }	{78 }	{83 }	{85 }	{86 95 }	{87 }	{88 }	{89 }	{90 }	{93 }	
10,719,8857,9576,18.751,1556.000,96,1285,0,0,0,0,{0 2 10 }	{1 49 85 }	{3 }	{4 15 28 38 39 40 41 43 52 53 64 66 67 70 71 76 }	{5 }	{6 }	{7 }	{8 }	{9 }	{11 }	{12 }	{13 }	{14 }	{16 }	{17 }	{18 }	{19 }	{20 }	{21 65 }	{22 }	{23 }	{24 }	{25 }	{26 78 }	{27 }	{29 }	{30 54 }	{31 79 83 }	{32 }	{33 }	{34 }	{35 }	{36 72 }	{37 }	{42 }	{44 }	{45 }	{46 }	{47 }	{48 }	{50 59 86 87 91 95 }	{51 }	{55 }	{56 }	{57 }	{58 }	{60 84 }	{61 }	{62 }	{63 }	{68 }	{69 }	{73 }	{74 }	{75 }	{77 }	{80 92 }	{81 }	{82 }	{88 }	{89 }	{90 94 }	{93 }	
