Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,101,35,136,14.312,36.000,14,22,0,0,0,0,{0 1 4 5 10 }	{2 6 7 11 12 }	{3 8 13 }	{9 }	
2,101,35,136,14.036,646.000,14,22,0,0,0,0,{0 1 4 10 }	{2 6 7 9 11 }	{3 5 8 12 13 }	
3,101,35,136,15.137,892.000,14,22,0,0,0,0,{0 1 4 10 }	{2 6 7 9 11 }	{3 5 8 12 13 }	
4,101,35,136,14.123,493.000,14,22,0,0,0,0,{0 1 4 5 10 }	{2 6 7 11 12 }	{3 8 13 }	{9 }	
5,97,39,136,14.247,288.000,14,22,0,0,0,0,{0 1 4 7 11 }	{2 6 9 10 12 }	{3 5 8 13 }	
6,99,37,136,14.080,417.000,14,22,0,0,0,0,{0 1 4 10 }	{2 6 7 11 12 }	{3 5 8 13 }	{9 }	
7,101,35,136,13.559,47.000,14,22,0,0,0,0,{0 1 4 10 }	{2 6 7 9 11 }	{3 5 8 12 13 }	
8,101,35,136,14.097,74.000,14,22,0,0,0,0,{0 1 4 5 10 }	{2 6 7 11 12 }	{3 8 13 }	{9 }	
9,96,40,136,14.559,1397.000,14,22,0,0,0,0,{0 1 4 5 }	{2 6 7 11 12 }	{3 8 13 }	{9 }	{10 }	
10,101,35,136,14.186,165.000,14,22,0,0,0,0,{0 1 4 10 }	{2 6 7 9 11 }	{3 5 8 12 13 }	
