Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,198,144,342,14.386,651.000,30,59,0,0,0,0,{0 3 7 15 16 18 }	{1 11 13 17 20 }	{2 4 10 21 22 25 }	{5 26 }	{6 8 28 }	{9 12 14 23 24 29 }	{19 }	{27 }	
2,225,117,342,14.677,683.000,30,59,0,0,0,0,{0 7 12 16 17 22 }	{1 13 18 19 20 }	{2 9 11 14 23 24 }	{3 4 10 15 25 27 }	{5 }	{6 21 }	{8 26 28 }	{29 }	
3,206,136,342,14.683,339.000,30,59,0,0,0,0,{0 3 15 16 17 18 }	{1 }	{2 11 14 20 23 24 }	{4 10 25 27 }	{5 }	{6 8 21 28 }	{7 22 }	{9 12 29 }	{13 }	{19 }	{26 }	
4,215,127,342,16.817,1455.000,30,59,0,0,0,0,{0 16 17 }	{1 8 13 19 20 28 }	{2 7 22 }	{3 4 15 18 }	{5 10 12 25 26 27 }	{6 21 }	{9 11 14 23 24 29 }	
5,225,117,342,15.611,584.000,30,59,0,0,0,0,{0 3 15 16 17 18 }	{1 11 13 14 20 23 }	{2 7 22 }	{4 9 10 24 25 27 }	{5 26 }	{6 8 12 21 28 29 }	{19 }	
6,220,122,342,16.085,1255.000,30,59,0,0,0,0,{0 3 15 17 18 }	{1 13 19 20 }	{2 6 21 }	{4 10 12 25 26 27 }	{5 }	{7 16 22 }	{8 28 }	{9 11 14 23 24 29 }	
7,216,126,342,14.546,820.000,30,59,0,0,0,0,{0 3 15 16 17 18 }	{1 13 20 }	{2 11 14 23 24 26 }	{4 10 25 27 }	{5 }	{6 8 9 21 28 29 }	{7 22 }	{12 }	{19 }	
8,215,127,342,15.064,912.000,30,59,0,0,0,0,{0 3 15 16 17 18 }	{1 8 13 19 20 28 }	{2 }	{4 10 25 27 }	{5 }	{6 21 }	{7 22 }	{9 11 14 23 24 29 }	{12 }	{26 }	
9,205,137,342,15.262,708.000,30,59,0,0,0,0,{0 7 8 16 17 22 }	{1 13 18 19 20 }	{2 11 14 23 26 }	{3 15 }	{4 10 24 25 27 }	{5 }	{6 9 12 21 28 29 }	
10,216,126,342,14.381,934.000,30,59,0,0,0,0,{0 3 4 15 16 17 }	{1 11 13 19 20 23 }	{2 }	{5 10 18 25 26 27 }	{6 8 21 28 }	{7 22 }	{9 14 24 29 }	{12 }	
