Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,217,38,255,14.311,1009.000,24,39,0,0,0,0,{0 1 9 16 17 }	{2 6 7 8 10 18 22 23 }	{3 11 19 }	{4 5 12 13 14 15 20 21 }	
2,209,46,255,13.789,1228.000,24,39,0,0,0,0,{0 6 7 8 10 16 18 22 }	{1 9 11 17 }	{2 3 19 }	{4 5 12 13 14 15 20 21 }	{23 }	
3,212,43,255,13.607,814.000,24,39,0,0,0,0,{0 1 8 9 16 17 }	{2 6 7 10 12 14 18 22 }	{3 11 19 }	{4 5 13 15 20 21 23 }	
4,205,50,255,13.788,1025.000,24,39,0,0,0,0,{0 8 16 }	{1 9 11 17 }	{2 3 6 10 14 18 19 22 }	{4 5 12 13 20 21 }	{7 15 23 }	
5,221,34,255,14.927,1477.000,24,39,0,0,0,0,{0 1 8 9 16 17 }	{2 3 6 10 11 18 19 22 }	{4 5 12 13 14 15 20 21 }	{7 23 }	
6,217,38,255,13.987,444.000,24,39,0,0,0,0,{0 1 9 16 17 }	{2 6 7 8 10 18 22 23 }	{3 11 19 }	{4 5 12 13 14 15 20 21 }	
7,192,63,255,14.614,1587.000,24,39,0,0,0,0,{0 1 9 17 }	{2 3 6 10 18 19 22 23 }	{4 5 8 13 15 16 20 21 }	{7 }	{11 }	{12 14 }	
8,217,38,255,15.615,814.000,24,39,0,0,0,0,{0 1 9 16 17 }	{2 6 7 8 10 18 22 23 }	{3 11 19 }	{4 5 12 13 14 15 20 21 }	
9,228,27,255,14.521,472.000,24,39,0,0,0,0,{0 1 3 9 11 16 17 19 }	{2 6 7 8 10 18 22 23 }	{4 5 12 13 14 15 20 21 }	
10,209,46,255,14.969,1079.000,24,39,0,0,0,0,{0 1 9 11 16 17 }	{2 6 8 10 14 18 22 }	{3 7 19 23 }	{4 5 12 13 15 20 21 }	
